validation_scheme,year,spatial_fold,budget,domain,weighting,comparison,random_bias,comparator_bias,difference_bias,random_mae,comparator_mae,difference_mae,random_rmse,comparator_rmse,difference_rmse
whole_blocks_latitude_cap,2010,1,5000,global,equal_cell,spatial_coverage_minus_random,-0.19829990496660482,0.9641971411943109,1.1624970461609156,11.833504072305272,11.495536878020781,-0.3379671942844915,23.40591723811044,18.846936294621678,-4.558980943488763
whole_blocks_latitude_cap,2010,1,5000,global,spherical_cell_area,historical_density_minus_random,0.10797901812314656,0.27810599983619544,0.17012698171304888,11.645671169446294,12.863102754136003,1.2174315846897095,22.8925142621895,20.47354716730336,-2.418967094886142
whole_blocks_latitude_cap,2010,1,5000,global,spherical_cell_area,spatial_coverage_minus_random,0.10797901812314656,1.3780761273718762,1.2700971092487296,11.645671169446294,11.368639618471056,-0.2770315509752379,22.8925142621895,18.568831545523402,-4.323682716666099
whole_blocks_latitude_cap,2010,1,5000,south_of_60n,equal_cell,historical_density_minus_random,-0.19829990496660482,-0.0041523195588900495,0.19414758540771476,11.833504072305272,13.180038306601876,1.3465342342966036,23.40591723811044,20.896078126606433,-2.5098391115040073
whole_blocks_latitude_cap,2010,1,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,-0.19829990496660482,0.9641971411943109,1.1624970461609156,11.833504072305272,11.495536878020781,-0.3379671942844915,23.40591723811044,18.846936294621678,-4.558980943488763
whole_blocks_latitude_cap,2010,1,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,0.10797901812314656,0.27810599983619544,0.17012698171304888,11.645671169446294,12.863102754136003,1.2174315846897095,22.8925142621895,20.47354716730336,-2.418967094886142
whole_blocks_latitude_cap,2010,1,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,0.10797901812314656,1.3780761273718762,1.2700971092487296,11.645671169446294,11.368639618471056,-0.2770315509752379,22.8925142621895,18.568831545523402,-4.323682716666099
whole_blocks_latitude_cap,2010,2,5000,global,equal_cell,historical_density_minus_random,0.15694556581315083,-1.9208811448853969,-2.0778267106985475,12.671242155264698,15.523332805031023,2.8520906497663248,30.806357771334792,34.1208079514996,3.3144501801648083
whole_blocks_latitude_cap,2010,2,5000,global,equal_cell,spatial_coverage_minus_random,0.15694556581315083,-0.32440402297196763,-0.48134958878511847,12.671242155264698,12.404761176180074,-0.26648097908462454,30.806357771334792,28.557642037729398,-2.248715733605394
whole_blocks_latitude_cap,2010,2,5000,global,spherical_cell_area,historical_density_minus_random,0.42480127272711365,-0.7975386900468265,-1.2223399627739402,12.159383667460352,14.926127458264187,2.766743790803835,29.44989495417614,32.35599599088916,2.9061010367130216
whole_blocks_latitude_cap,2010,2,5000,global,spherical_cell_area,spatial_coverage_minus_random,0.42480127272711365,-0.011174522332739984,-0.4359757950598536,12.159383667460352,11.985157476257749,-0.17422619120260308,29.44989495417614,27.538061080927626,-1.911833873248515
whole_blocks_latitude_cap,2010,2,5000,south_of_60n,equal_cell,historical_density_minus_random,0.15694556581315083,-1.9208811448853969,-2.0778267106985475,12.671242155264698,15.523332805031023,2.8520906497663248,30.806357771334792,34.1208079514996,3.3144501801648083
whole_blocks_latitude_cap,2010,2,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,0.15694556581315083,-0.32440402297196763,-0.48134958878511847,12.671242155264698,12.404761176180074,-0.26648097908462454,30.806357771334792,28.557642037729398,-2.248715733605394
whole_blocks_latitude_cap,2010,2,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,0.42480127272711365,-0.7975386900468265,-1.2223399627739402,12.159383667460352,14.926127458264187,2.766743790803835,29.44989495417614,32.35599599088916,2.9061010367130216
whole_blocks_latitude_cap,2010,2,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,0.42480127272711365,-0.011174522332739984,-0.4359757950598536,12.159383667460352,11.985157476257749,-0.17422619120260308,29.44989495417614,27.538061080927626,-1.911833873248515
whole_blocks_latitude_cap,2010,3,5000,global,equal_cell,historical_density_minus_random,-0.10523334503497687,-1.8807197282451011,-1.7754863832101242,11.51662695836271,13.60731173321864,2.09068477485593,34.39444514017608,38.57560698486923,4.18116184469315
whole_blocks_latitude_cap,2010,3,5000,global,equal_cell,spatial_coverage_minus_random,-0.10523334503497687,-0.4191923604235005,-0.3139590153885236,11.51662695836271,11.456905067629894,-0.05972189073281697,34.39444514017608,31.27203526934273,-3.1224098708333514
whole_blocks_latitude_cap,2010,3,5000,global,spherical_cell_area,historical_density_minus_random,-0.3258719230384577,-1.8109822718238142,-1.4851103487853565,11.08092809312196,13.058465657470663,1.9775375643487028,31.426676663642287,35.193068817983104,3.766392154340817
whole_blocks_latitude_cap,2010,3,5000,global,spherical_cell_area,spatial_coverage_minus_random,-0.3258719230384577,-0.5837659336286821,-0.25789401059022443,11.08092809312196,11.101060730604134,0.020132637482173976,31.426676663642287,28.71740797086896,-2.7092686927733283
whole_blocks_latitude_cap,2010,3,5000,south_of_60n,equal_cell,historical_density_minus_random,-0.10523334503497687,-1.8807197282451011,-1.7754863832101242,11.51662695836271,13.60731173321864,2.09068477485593,34.39444514017608,38.57560698486923,4.18116184469315
whole_blocks_latitude_cap,2010,3,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,-0.10523334503497687,-0.4191923604235005,-0.3139590153885236,11.51662695836271,11.456905067629894,-0.05972189073281697,34.39444514017608,31.27203526934273,-3.1224098708333514
whole_blocks_latitude_cap,2010,3,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,-0.3258719230384577,-1.8109822718238142,-1.4851103487853565,11.08092809312196,13.058465657470663,1.9775375643487028,31.426676663642287,35.193068817983104,3.766392154340817
whole_blocks_latitude_cap,2010,3,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,-0.3258719230384577,-0.5837659336286821,-0.25789401059022443,11.08092809312196,11.101060730604134,0.020132637482173976,31.426676663642287,28.71740797086896,-2.7092686927733283
whole_blocks_latitude_cap,2010,4,5000,global,equal_cell,historical_density_minus_random,-0.8373984362904201,-2.083211671527283,-1.245813235236863,12.023347971828805,13.699926048232433,1.6765780764036275,20.408597903519798,22.165169066596647,1.756571163076849
whole_blocks_latitude_cap,2010,4,5000,global,equal_cell,spatial_coverage_minus_random,-0.8373984362904201,-1.0048687416287883,-0.16747030533836815,12.023347971828805,12.484996418294172,0.4616484464653663,20.408597903519798,20.087719423186876,-0.3208784803329223
whole_blocks_latitude_cap,2010,4,5000,global,spherical_cell_area,historical_density_minus_random,-1.3666958810393994,-2.1517899529077686,-0.7850940718683692,11.729074958636485,13.365836944022604,1.6367619853861193,20.149035893996842,22.118071255416403,1.9690353614195608
whole_blocks_latitude_cap,2010,4,5000,global,spherical_cell_area,spatial_coverage_minus_random,-1.3666958810393994,-1.3649776146154993,0.001718266423900161,11.729074958636485,12.321097246538903,0.5920222879024184,20.149035893996842,19.965528611453642,-0.18350728254320003
whole_blocks_latitude_cap,2010,4,5000,south_of_60n,equal_cell,historical_density_minus_random,-0.8373984362904201,-2.083211671527283,-1.245813235236863,12.023347971828805,13.699926048232433,1.6765780764036275,20.408597903519798,22.165169066596647,1.756571163076849
whole_blocks_latitude_cap,2010,4,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,-0.8373984362904201,-1.0048687416287883,-0.16747030533836815,12.023347971828805,12.484996418294172,0.4616484464653663,20.408597903519798,20.087719423186876,-0.3208784803329223
whole_blocks_latitude_cap,2010,4,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,-1.3666958810393994,-2.1517899529077686,-0.7850940718683692,11.729074958636485,13.365836944022604,1.6367619853861193,20.149035893996842,22.118071255416403,1.9690353614195608
whole_blocks_latitude_cap,2010,4,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,-1.3666958810393994,-1.3649776146154993,0.001718266423900161,11.729074958636485,12.321097246538903,0.5920222879024184,20.149035893996842,19.965528611453642,-0.18350728254320003
whole_blocks_latitude_cap,2014,0,5000,global,equal_cell,historical_density_minus_random,1.3384403146665313,0.8262151059417533,-0.5122252087247781,12.3559836755672,14.147820175218465,1.7918364996512643,23.864940701186907,24.27540757283168,0.4104668716447719
whole_blocks_latitude_cap,2014,0,5000,global,equal_cell,spatial_coverage_minus_random,1.3384403146665313,1.0801889767825221,-0.2582513378840092,12.3559836755672,12.193719508684381,-0.16226416688281908,23.864940701186907,20.756008060462662,-3.1089326407242446
whole_blocks_latitude_cap,2014,0,5000,global,spherical_cell_area,historical_density_minus_random,1.3711458948322088,1.142367412981319,-0.22877848185088978,12.160702726148886,13.96651190526516,1.8058091791162738,23.783066997967556,24.379216112432623,0.5961491144650672
