year,spatial_fold,strategy,budget,seed,month,selected_count,selected_fraction,candidate_fraction,equal_month_fraction
2005,3,spatial_coverage,1000,0,1,72,0.072,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,1000,0,2,76,0.076,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,1000,0,3,84,0.084,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,1000,0,4,85,0.085,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,1000,0,5,74,0.074,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,1000,0,6,87,0.087,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,1000,0,7,92,0.092,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,1000,0,8,88,0.088,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,1000,0,9,81,0.081,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,1000,0,10,90,0.09,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,1000,0,11,86,0.086,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,1000,0,12,85,0.085,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,5000,0,1,418,0.0836,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,5000,0,2,418,0.0836,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,5000,0,3,412,0.0824,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,5000,0,4,421,0.0842,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,5000,0,5,422,0.0844,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,5000,0,6,426,0.0852,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,5000,0,7,415,0.083,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,5000,0,8,418,0.0836,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,5000,0,9,426,0.0852,0.08333333333333333,0.08333333333333333
2005,3,spatial_coverage,5000,0,10,406,0.0812,0.08333333333333333,0.08333333333333333
