validation_scheme,year,spatial_fold,budget,comparison,metric,n_seeds,random_mean,comparator_mean,difference,relative_error_change_percent
whole_spatial_blocks,2005,1.0,1000,spatial_coverage_minus_random,rmse,20,25.449339632806605,25.766380132190392,0.3170404993837863,1.245771025724735
whole_spatial_blocks,2005,1.0,1000,spatial_coverage_minus_random,mae,20,14.505753427542302,15.11181144704332,0.6060580195010168,4.178052677707074
whole_spatial_blocks,2005,1.0,1000,spatial_coverage_minus_random,median_absolute_error,20,9.196182055729134,9.804763822775595,0.608581767046461,6.61776553963849
whole_spatial_blocks,2005,1.0,1000,spatial_coverage_minus_random,p95_absolute_error,20,43.24089691344405,44.71457545172534,1.4736785382812911,3.408066537637218
whole_spatial_blocks,2005,1.0,1000,spatial_coverage_minus_random,p99_absolute_error,20,96.64654961705902,97.17138669840422,0.524837081345197,0.5430479240332429
whole_spatial_blocks,2005,1.0,1000,spatial_coverage_minus_random,bias,20,0.6099008923687369,1.31600973195677,0.7061088395880332,
whole_spatial_blocks,2005,1.0,5000,historical_density_minus_random,rmse,20,20.677362498208964,28.858136522968902,8.180774024759938,39.563914524729846
whole_spatial_blocks,2005,1.0,5000,historical_density_minus_random,mae,20,11.65576708041506,16.124942176352263,4.469175095937203,38.34303710003491
whole_spatial_blocks,2005,1.0,5000,historical_density_minus_random,median_absolute_error,20,7.578629507810073,9.459918884832284,1.8812893770222106,24.82360926976927
whole_spatial_blocks,2005,1.0,5000,historical_density_minus_random,p95_absolute_error,20,33.64109242860948,54.52409978202953,20.883007353420048,62.075889472781974
whole_spatial_blocks,2005,1.0,5000,historical_density_minus_random,p99_absolute_error,20,80.38002420650744,117.66081403694409,37.280789830436646,46.380665094921
whole_spatial_blocks,2005,1.0,5000,historical_density_minus_random,bias,20,0.6724207642119725,-3.651627213967159,-4.324047978179132,
whole_spatial_blocks,2005,1.0,5000,spatial_coverage_minus_random,rmse,20,20.677362498208964,20.94017584216192,0.2628133439529563,1.2710196669218365
whole_spatial_blocks,2005,1.0,5000,spatial_coverage_minus_random,mae,20,11.65576708041506,12.205900490873523,0.5501334104584625,4.71983874302739
whole_spatial_blocks,2005,1.0,5000,spatial_coverage_minus_random,median_absolute_error,20,7.578629507810073,8.282213023509387,0.7035835156993135,9.283782971238312
